Education,Marital_Status,HasChildren,AgeGroup,Income,Recency,Complain,Days_Since_Enrolled,Years_Since_Enrolled,NumDealsPurchases,NumWebVisitsMonth,NumTotalPurchases,MntRegularProds,MntGoldProds,MntTotal,AcceptedCmpTotal,HasAcceptedCmp,Response
Master,Single,0,31-45,70893.0,42,0,508,1,1,3,22,1494,14,1508,0,0,0
Graduation,Partner,1,46-60,54198.0,13,0,194,0,6,4,10,218,17,235,0,0,0
Master,Partner,1,46-60,28839.0,86,0,110,0,2,5,5,31,1,32,0,0,0
Graduation,Partner,1,31-45,40321.0,59,0,335,0,2,7,6,75,27,102,0,0,0
Graduation,Single,1,18-30,66503.0,30,0,684,1,2,3,13,351,50,401,0,0,0
Graduation,Partner,1,61+,30833.0,33,0,348,0,2,5,4,22,6,28,0,0,0
Graduation,Partner,1,31-45,64795.0,23,0,528,1,3,2,18,603,77,680,0,0,0
Graduation,Partner,1,31-45,34421.0,81,0,363,0,1,7,3,21,9,30,0,0,0
PhD,Single,1,46-60,47025.0,6,0,140,0,1,7,3,19,1,20,0,0,0
PhD,Single,1,46-60,64325.0,41,0,507,1,5,7,18,1234,73,1307,0,0,0
Graduation,Single,1,61+,40464.0,78,0,534,1,6,8,18,589,41,630,0,0,0
Graduation,Partner,0,46-60,62187.0,49,0,359,0,1,3,17,1157,126,1283,0,0,0
PhD,Single,1,31-45,14849.0,39,0,362,0,3,8,6,56,9,65,0,0,0
Graduation,Partner,1,18-30,27255.0,3,0,234,0,1,7,4,35,2,37,0,0,0
PhD,Partner,1,61+,54432.0,37,0,416,1,1,4,4,38,0,38,0,0,0
PhD,Single,1,18-30,29999.0,22,0,501,1,4,8,8,149,11,160,0,0,0
Graduation,Single,1,31-45,24072.0,79,0,439,1,1,8,3,19,4,23,0,0,0
PhD,Single,0,18-30,33996.0,46,0,291,0,1,4,5,65,6,71,0,0,0
PhD,Partner,1,46-60,66334.0,82,0,452,1,2,5,17,1138,23,1161,0,0,1
Master,Partner,1,31-45,35178.0,10,0,535,1,1,7,4,41,18,59,1,1,1
Graduation,Partner,1,31-45,22010.0,51,0,364,0,2,8,5,25,8,33,0,0,0
Graduation,Single,1,46-60,62204.0,38,0,655,1,1,3,21,807,139,946,0,0,0
Graduation,Single,0,46-60,75693.0,10,0,570,1,1,4,21,1412,30,1442,3,1,1
Graduation,Partner,1,31-45,30675.0,14,0,594,1,1,8,4,41,21,62,0,0,0
Graduation,Partner,0,46-60,83003.0,18,0,483,1,1,3,21,1552,122,1674,1,1,1
PhD,Partner,0,61+,83532.0,36,0,276,0,1,1,14,1629,224,1853,1,1,0
Graduation,Single,0,18-30,68655.0,95,0,688,1,1,3,20,1500,38,1538,0,0,0
Graduation,Single,0,18-30,41411.0,11,0,204,0,1,6,7,121,18,139,0,0,0
PhD,Partner,1,31-45,55212.0,65,0,583,1,3,8,17,1148,34,1182,2,1,0
PhD,Partner,1,61+,59292.0,71,0,381,1,2,3,16,493,14,507,0,0,0
Basic,Partner,1,31-45,27190.0,13,0,318,0,1,8,3,15,3,18,1,1,1
Graduation,Single,0,61+,82623.0,58,0,231,0,1,1,15,767,173,940,0,0,0
Graduation,Partner,1,46-60,44300.0,65,0,371,1,2,6,4,39,3,42,0,0,0
Graduation,Single,0,31-45,84835.0,0,0,13,0,1,1,14,972,218,1190,0,0,1
Graduation,Single,1,31-45,30372.0,33,0,551,1,3,7,5,37,7,44,0,0,0
Master,Partner,1,31-45,33181.0,90,0,177,0,1,6,3,12,4,16,1,1,0
Graduation,Partner,1,46-60,71113.0,95,0,194,0,4,4,22,827,8,835,0,0,0
Graduation,Partner,1,18-30,71952.0,93,0,535,1,2,4,20,1350,93,1443,2,1,0
PhD,Single,0,46-60,69759.0,38,0,244,0,3,3,15,1029,0,1029,0,0,1
Graduation,Partner,0,31-45,72099.0,18,0,610,1,1,1,17,1166,22,1188,0,0,0
PhD,Single,1,31-45,60000.0,57,0,554,1,5,6,19,1265,12,1277,0,0,0
Graduation,Single,1,31-45,38643.0,45,1,212,0,2,7,5,39,10,49,0,0,0
Graduation,Partner,1,46-60,50737.0,61,0,414,1,1,6,6,89,10,99,1,1,0
PhD,Partner,0,31-45,68462.0,6,0,564,1,1,1,14,1622,48,1670,0,0,0
Master,Partner,0,61+,65073.0,65,1,313,0,1,2,13,892,8,900,0,0,0
PhD,Partner,1,61+,46681.0,52,0,264,0,2,5,14,387,38,425,0,0,0
Graduation,Partner,0,46-60,78618.0,87,0,639,1,1,2,21,2092,61,2153,1,1,0
PhD,Single,1,31-45,62187.0,38,0,99,0,3,4,18,595,41,636,0,0,0
Graduation,Partner,1,31-45,28442.0,53,0,125,0,3,4,7,51,6,57,0,0,0
PhD,Partner,1,31-45,37717.0,31,0,583,1,1,9,3,20,5,25,0,0,0
Graduation,Partner,1,46-60,51479.0,67,0,548,1,7,7,15,429,65,494,0,0,0
Graduation,Single,1,31-45,54803.0,65,0,677,1,2,4,17,551,142,693,0,0,0
Graduation,Partner,0,46-60,79530.0,64,0,408,1,1,2,25,1319,29,1348,0,0,0
Graduation,Single,1,31-45,31615.0,82,0,470,1,2,7,5,42,9,51,0,0,0
Graduation,Partner,0,46-60,72025.0,27,0,589,1,1,3,15,1699,233,1932,0,0,0
PhD,Single,1,31-45,52614.0,63,0,575,1,2,8,14,952,38,990,0,0,0
2n Cycle,Partner,1,18-30,35684.0,66,0,68,0,1,6,4,27,3,30,0,0,0
Graduation,Partner,1,31-45,48178.0,69,0,609,1,6,8,10,216,38,254,0,0,0
Master,Single,1,31-45,29548.0,52,0,304,0,1,4,4,18,11,29,1,1,0
Graduation,Single,1,46-60,63810.0,45,0,595,1,4,8,19,1270,101,1371,1,1,0
PhD,Single,1,31-45,38578.0,2,0,372,1,3,8,6,70,3,73,0,0,1
Master,Single,1,31-45,46098.0,86,0,680,1,4,8,7,84,36,120,0,0,0
Graduation,Single,0,31-45,22585.0,23,0,468,1,1,9,4,42,39,81,1,1,1
Graduation,Single,1,18-30,30279.0,13,0,546,1,1,8,4,36,1,37,0,0,0
PhD,Partner,1,46-60,66426.0,14,0,270,0,2,6,18,1220,157,1377,0,0,0
Graduation,Single,1,31-45,30822.0,92,0,380,1,1,7,4,39,12,51,0,0,0
PhD,Partner,1,31-45,33581.0,38,0,537,1,1,8,3,16,1,17,0,0,0
Graduation,Partner,1,18-30,19986.0,74,0,227,0,1,7,3,16,6,22,0,0,0
Graduation,Single,0,46-60,27421.0,14,0,564,1,3,7,11,269,55,324,0,0,0
2n Cycle,Partner,1,31-45,35688.0,94,0,676,1,7,8,9,179,32,211,0,0,0
Master,Single,1,31-45,36143.0,33,0,91,0,1,3,3,13,6,19,0,0,0
Graduation,Single,1,31-45,10245.0,32,0,410,1,3,5,5,28,13,41,0,0,0
Master,Partner,1,46-60,43795.0,11,0,256,0,3,7,14,385,107,492,1,1,1
Graduation,Partner,1,46-60,63381.0,78,0,632,1,4,2,22,846,159,1005,0,0,0
Graduation,Partner,1,61+,38823.0,56,0,668,1,1,6,6,91,23,114,0,0,0
PhD,Single,1,46-60,83664.0,57,0,417,1,3,5,16,1087,86,1173,0,0,0
Graduation,Partner,0,31-45,90300.0,7,0,177,0,0,1,19,1681,57,1738,1,1,0
Master,Partner,1,31-45,62499.0,0,0,202,0,2,4,10,218,4,222,0,0,0
Graduation,Single,0,18-30,74293.0,66,0,56,0,1,2,15,1046,81,1127,0,0,0
PhD,Partner,0,61+,51012.0,86,0,437,1,1,6,9,185,24,209,0,0,0
Master,Partner,1,46-60,70777.0,80,0,124,0,3,3,20,709,78,787,0,0,0
PhD,Partner,0,18-30,68682.0,56,0,266,0,1,2,23,1553,45,1598,0,0,0
Graduation,Partner,1,31-45,43824.0,18,0,652,1,4,8,8,154,32,186,0,0,0
Graduation,Partner,1,18-30,15345.0,51,0,667,1,2,8,4,28,19,47,0,0,1
Graduation,Single,1,18-30,23442.0,71,0,552,1,1,7,4,22,5,27,0,0,0
2n Cycle,Partner,1,31-45,14515.0,71,0,597,1,4,7,7,61,35,96,0,0,1
2n Cycle,Single,1,46-60,31395.0,80,0,463,1,4,6,6,57,7,64,0,0,0
Graduation,Partner,0,46-60,75276.0,2,0,640,1,1,5,22,1019,21,1040,0,0,0
Graduation,Single,1,31-45,42373.0,83,0,318,0,5,5,8,144,19,163,0,0,0
Graduation,Partner,0,46-60,30507.0,29,0,475,1,1,7,10,233,110,343,0,0,0
PhD,Single,1,46-60,55521.0,11,0,250,0,9,7,15,442,4,446,1,1,1
Graduation,Partner,1,46-60,48006.0,55,0,20,0,1,6,4,39,2,41,0,0,0
PhD,Single,1,31-45,27213.0,19,0,668,1,3,8,6,67,3,70,0,0,1
PhD,Single,1,31-45,65808.0,1,0,30,0,3,6,11,262,10,272,0,0,0
PhD,Partner,1,31-45,30351.0,19,0,388,1,1,9,5,44,2,46,0,0,0
Graduation,Partner,1,46-60,50437.0,28,0,620,1,3,7,16,486,4,490,0,0,0
2n Cycle,Single,1,31-45,23616.0,76,0,589,1,2,8,6,47,32,79,0,0,1
Graduation,Partner,1,31-45,53858.0,50,0,597,1,4,4,13,889,26,915,0,0,0
PhD,Partner,1,46-60,66465.0,1,0,456,1,3,6,32,1471,14,1485,1,1,0
Graduation,Single,1,18-30,46923.0,90,0,676,1,3,7,13,363,6,369,0,0,0
Graduation,Partner,1,46-60,75072.0,83,0,522,1,2,3,17,948,125,1073,0,0,0
PhD,Partner,0,61+,75865.0,73,0,90,0,1,1,18,1230,12,1242,0,0,0
2n Cycle,Partner,1,31-45,19789.0,24,0,221,0,3,5,6,50,28,78,1,1,0
Graduation,Partner,0,18-30,80134.0,11,0,135,0,1,5,20,1352,26,1378,4,1,0
Graduation,Single,0,31-45,91065.0,33,0,492,1,1,3,25,1360,114,1474,2,1,1
Master,Partner,1,31-45,49505.0,4,0,481,1,9,8,20,723,28,751,0,0,0
PhD,Partner,1,31-45,37401.0,14,0,54,0,2,7,5,45,3,48,0,0,0
Graduation,Partner,1,31-45,30096.0,30,0,38,0,1,6,5,36,9,45,0,0,0
Master,Partner,1,31-45,18492.0,75,0,24,0,1,8,3,9,1,10,0,0,0
Master,Partner,0,31-45,82584.0,26,0,390,1,1,1,15,1367,68,1435,2,1,1
PhD,Partner,0,61+,93027.0,77,0,442,1,0,2,22,2098,21,2119,1,1,0
Graduation,Partner,1,61+,48686.0,8,0,207,0,1,8,3,19,1,20,0,0,0
Graduation,Partner,0,18-30,92910.0,42,0,66,0,1,1,26,1762,33,1795,3,1,0
Graduation,Partner,1,18-30,75433.0,28,0,85,0,2,6,17,1131,57,1188,2,1,0
2n Cycle,Partner,1,18-30,10404.0,52,0,56,0,2,5,5,31,12,43,0,0,0
Graduation,Partner,1,46-60,61314.0,1,0,430,1,2,3,22,836,172,1008,0,0,0
PhD,Single,0,46-60,84865.0,1,0,416,1,1,4,15,1672,16,1688,4,1,1
Graduation,Partner,1,18-30,42387.0,42,0,608,1,5,8,16,493,191,684,0,0,0
2n Cycle,Partner,1,46-60,67309.0,76,0,522,1,15,7,24,987,95,1082,0,0,0
Graduation,Partner,1,46-60,75236.0,27,0,216,0,1,4,24,954,114,1068,0,0,0
Graduation,Single,1,31-45,30015.0,28,0,147,0,2,5,5,52,5,57,0,0,0
Master,Partner,1,46-60,50943.0,49,0,373,1,1,5,4,40,6,46,0,0,0
Graduation,Single,1,46-60,67272.0,12,0,190,0,3,5,20,719,14,733,0,0,0
Master,Single,1,61+,51529.0,14,0,295,0,2,8,15,445,22,467,0,0,0
PhD,Partner,1,31-45,32011.0,89,0,311,0,3,7,7,117,5,122,0,0,0
2n Cycle,Partner,1,18-30,7500.0,96,0,507,1,2,8,5,27,9,36,0,0,0
Graduation,Partner,1,18-30,28691.0,56,0,360,0,1,8,4,30,4,34,0,0,0
PhD,Partner,1,61+,56223.0,72,0,191,0,2,4,8,152,4,156,0,0,0
Graduation,Partner,0,61+,18100.0,14,0,327,0,1,5,3,13,1,14,0,0,0
Graduation,Single,1,18-30,30279.0,13,0,546,1,1,8,4,36,1,37,0,0,0
2n Cycle,Partner,0,31-45,20130.0,99,0,104,0,1,8,4,22,12,34,0,0,0
Graduation,Single,0,46-60,23295.0,72,0,351,0,1,8,3,15,5,20,0,0,0
Master,Single,1,31-45,42618.0,92,0,263,0,2,8,9,182,10,192,0,0,0
Graduation,Single,0,46-60,81246.0,87,0,182,0,1,1,16,1342,37,1379,2,1,0
Graduation,Partner,1,31-45,24027.0,7,0,385,1,2,8,5,43,5,48,0,0,0
PhD,Partner,1,61+,55707.0,91,0,189,0,2,3,14,393,35,428,0,0,0
Graduation,Single,1,46-60,57959.0,71,0,423,1,5,3,22,835,33,868,0,0,0
Graduation,Partner,1,31-45,56796.0,24,0,498,1,3,7,24,964,37,1001,0,0,0
Master,Single,1,31-45,36230.0,17,0,255,0,1,5,6,56,3,59,0,0,0
2n Cycle,Partner,1,31-45,70829.0,87,0,210,0,2,3,14,408,23,431,0,0,0
Graduation,Partner,1,31-45,65991.0,21,0,660,1,3,7,24,962,9,971,0,0,0
Graduation,Partner,1,31-45,38988.0,90,0,678,1,7,8,12,306,42,348,0,0,0
2n Cycle,Single,0,46-60,89572.0,44,0,652,1,1,4,23,1995,64,2059,2,1,1
Master,Partner,1,18-30,42207.0,71,0,454,1,4,6,10,219,46,265,1,1,1
Graduation,Partner,1,61+,50300.0,52,0,35,0,2,2,11,265,5,270,0,0,0
2n Cycle,Partner,0,31-45,66664.0,78,0,642,1,1,3,18,1257,32,1289,0,0,0
Graduation,Partner,1,46-60,60597.0,2,0,179,0,4,7,12,827,66,893,1,1,1
Graduation,Single,0,61+,70165.0,60,0,280,0,1,1,21,804,122,926,0,0,0
PhD,Single,1,46-60,50520.0,25,0,152,0,2,6,7,121,14,135,0,0,0
Graduation,Partner,0,46-60,80124.0,47,0,3,0,1,1,18,1254,241,1495,1,1,0
Graduation,Partner,1,31-45,33183.0,46,0,125,0,2,7,7,83,37,120,0,0,0
PhD,Single,0,31-45,66582.0,83,0,118,0,1,1,19,1288,0,1288,0,0,0
PhD,Partner,0,46-60,75261.0,17,0,432,1,1,2,16,1726,17,1743,2,1,1
Graduation,Single,1,31-45,31880.0,13,0,606,1,1,8,3,12,3,15,0,0,0
Graduation,Partner,1,61+,53790.0,86,0,115,0,3,6,17,537,5,542,0,0,0
PhD,Partner,1,31-45,49269.0,92,0,683,1,3,7,22,832,58,890,0,0,0
Graduation,Partner,1,31-45,61456.0,47,0,459,1,4,4,29,1299,89,1388,0,0,0
Graduation,Partner,1,31-45,37406.0,18,0,262,0,1,8,3,14,3,17,0,0,1
PhD,Partner,1,31-45,56937.0,81,0,694,1,7,6,23,898,8,906,1,1,1
Graduation,Partner,1,31-45,38415.0,91,0,543,1,2,7,4,40,4,44,0,0,0
Graduation,Single,1,18-30,20518.0,58,0,42,0,1,5,4,16,9,25,0,0,0
Graduation,Partner,1,46-60,62503.0,40,0,496,1,4,5,22,856,117,973,0,0,0
PhD,Single,1,31-45,41644.0,67,0,51,0,2,3,4,29,2,31,0,0,0
Master,Partner,1,31-45,55842.0,19,0,37,0,1,5,16,494,24,518,0,0,0
PhD,Partner,1,31-45,62010.0,93,0,614,1,4,5,15,438,92,530,0,0,0
Graduation,Partner,1,31-45,41124.0,41,0,606,1,7,8,14,387,119,506,0,0,0
Master,Partner,1,31-45,38961.0,60,0,181,0,1,7,5,46,24,70,0,0,0
Master,Single,1,31-45,37760.0,54,0,322,0,1,6,5,54,0,54,0,0,0
Graduation,Single,1,31-45,32233.0,26,0,679,1,2,9,10,224,72,296,1,1,1
Graduation,Partner,1,31-45,43057.0,30,0,242,0,4,5,11,261,5,266,0,0,0
Master,Partner,0,46-60,83151.0,93,0,627,1,1,3,18,729,18,747,0,0,0
PhD,Single,0,46-60,78825.0,35,0,653,1,1,3,28,877,18,895,0,0,1
Master,Partner,1,31-45,65104.0,4,0,227,0,2,7,15,1003,50,1053,0,0,0
Graduation,Partner,1,31-45,60093.0,92,0,368,1,2,6,19,645,90,735,0,0,0
Graduation,Partner,1,31-45,14045.0,24,0,154,0,1,7,4,19,1,20,0,0,0
2n Cycle,Single,0,61+,28457.0,96,0,609,1,1,8,9,191,14,205,0,0,0
PhD,Partner,1,46-60,78952.0,11,0,643,1,2,6,19,1958,134,2092,0,0,0
Graduation,Single,1,31-45,46310.0,99,0,573,1,2,8,12,295,14,309,0,0,0
Graduation,Partner,0,46-60,76005.0,72,0,492,1,1,6,21,1682,40,1722,1,1,0
Master,Single,1,46-60,58308.0,77,0,533,1,4,8,11,770,130,900,0,0,0
PhD,Single,0,61+,55614.0,85,0,214,0,1,7,19,656,26,682,1,1,0
Master,Single,1,46-60,59432.0,88,0,442,1,3,5,19,651,12,663,0,0,0
Graduation,Single,1,31-45,55563.0,22,0,85,0,1,3,5,41,2,43,0,0,0
PhD,Partner,1,31-45,78642.0,83,0,434,1,1,6,17,1799,17,1816,0,0,0
PhD,Partner,1,61+,67911.0,63,0,38,0,3,3,24,976,0,976,0,0,0
Graduation,Partner,0,61+,65275.0,9,0,452,1,1,2,20,725,21,746,0,0,0
Graduation,Partner,1,61+,27203.0,92,0,692,1,2,8,4,40,24,64,0,0,0
Master,Partner,1,46-60,48330.0,2,0,226,0,1,5,4,32,0,32,0,0,0
Basic,Partner,0,18-30,24279.0,6,0,547,1,1,8,8,155,108,263,0,0,0
PhD,Partner,1,18-30,64355.0,66,0,674,1,2,8,19,1292,153,1445,0,0,0
Master,Partner,1,46-60,50943.0,49,0,373,1,1,5,4,40,6,46,0,0,0
Graduation,Single,0,61+,53653.0,29,0,599,1,2,6,26,1102,108,1210,0,0,0
Graduation,Partner,1,31-45,65665.0,77,0,209,0,1,3,23,916,29,945,0,0,0
Graduation,Single,0,18-30,81217.0,77,0,345,0,1,1,21,1073,84,1157,0,0,0
Graduation,Partner,0,18-30,34935.0,71,0,373,1,1,7,7,117,20,137,0,0,0
Graduation,Single,1,46-60,61250.0,49,0,560,1,6,5,19,671,59,730,0,0,0
PhD,Partner,1,31-45,39665.0,97,0,400,1,3,7,9,185,31,216,1,1,0
Graduation,Single,1,31-45,60152.0,6,0,458,1,1,3,22,852,91,943,0,0,0
Graduation,Partner,1,46-60,48920.0,93,0,252,0,3,7,13,341,6,347,1,1,0
Master,Partner,0,46-60,89120.0,78,0,104,0,1,1,18,1869,55,1924,1,1,0
PhD,Partner,1,61+,44124.0,62,0,414,1,4,8,13,345,52,397,0,0,0
Master,Single,0,31-45,81169.0,47,0,441,1,1,2,21,2062,27,2089,0,0,0
Graduation,Partner,1,46-60,36443.0,9,0,511,1,4,8,7,118,20,138,0,0,0
Graduation,Single,1,18-30,26095.0,77,0,364,0,1,7,4,31,11,42,0,0,0
Graduation,Partner,0,46-60,71367.0,24,0,310,0,1,2,16,702,75,777,0,0,0
Master,Partner,0,61+,80184.0,19,0,120,0,1,3,19,1902,0,1902,2,1,0
Graduation,Single,1,46-60,30630.0,67,0,153,0,2,7,5,42,10,52,0,0,0
Master,Single,0,18-30,73454.0,95,0,120,0,1,5,12,1476,175,1651,1,1,0
Graduation,Partner,0,18-30,42691.0,48,0,317,0,1,5,12,300,58,358,0,0,0
Graduation,Partner,0,61+,70503.0,73,0,637,1,1,6,15,1661,66,1727,2,1,0
Graduation,Partner,1,18-30,25545.0,35,0,659,1,3,6,7,125,85,210,0,0,1
Graduation,Partner,1,18-30,32880.0,76,0,572,1,1,8,4,40,2,42,0,0,0
PhD,Partner,0,46-60,77863.0,20,0,214,0,1,2,19,1279,12,1291,0,0,0
Master,Partner,0,31-45,50353.0,72,0,21,0,1,3,14,407,35,442,0,0,0
Graduation,Single,0,46-60,61839.0,20,0,686,1,1,8,16,1775,120,1895,0,0,0
PhD,Partner,1,46-60,49154.0,69,0,238,0,6,6,13,340,71,411,0,0,0
2n Cycle,Single,1,31-45,47682.0,80,0,499,1,4,5,15,460,61,521,0,0,0
Graduation,Single,1,31-45,72679.0,65,0,284,0,1,1,16,1114,54,1168,0,0,0
Master,Partner,1,31-45,57954.0,52,0,11,0,7,7,16,484,9,493,1,1,0
Graduation,Partner,1,46-60,65316.0,65,0,431,1,2,4,10,222,38,260,0,0,0
Graduation,Single,1,31-45,28567.0,57,0,377,1,2,6,5,40,6,46,0,0,0
Master,Partner,1,61+,47352.0,70,0,444,1,4,7,12,304,15,319,0,0,0
Graduation,Partner,1,46-60,44931.0,0,0,162,0,1,5,6,89,7,96,0,0,0
Graduation,Single,0,46-60,76982.0,19,0,134,0,1,4,15,1032,30,1062,1,1,1
2n Cycle,Partner,1,61+,57247.0,50,0,325,0,2,2,10,226,6,232,0,0,0
Master,Single,1,31-45,22944.0,67,0,188,0,3,7,6,50,26,76,0,0,0
2n Cycle,Partner,1,31-45,25315.0,46,0,234,0,3,8,6,32,22,54,0,0,0
Graduation,Single,1,31-45,43638.0,37,0,692,1,2,7,9,182,19,201,0,0,0
PhD,Single,1,18-30,42710.0,38,0,578,1,2,6,12,304,102,406,0,0,0
PhD,Partner,0,31-45,84169.0,9,0,326,0,1,3,19,1919,0,1919,2,1,1
Graduation,Partner,1,31-45,54058.0,56,0,390,1,2,3,18,608,54,662,0,0,0
2n Cycle,Partner,1,18-30,24683.0,98,0,113,0,2,5,6,35,6,41,0,0,0
Graduation,Single,0,46-60,85620.0,68,0,173,0,1,1,13,1554,46,1600,0,0,1
Graduation,Partner,1,31-45,47850.0,72,0,208,0,1,6,7,124,10,134,0,0,0
Graduation,Partner,1,46-60,19514.0,47,0,154,0,4,8,6,41,28,69,1,1,1
Master,Partner,1,31-45,27159.0,33,0,92,0,2,6,4,20,1,21,0,0,0
2n Cycle,Single,1,46-60,39548.0,87,0,90,0,2,3,5,36,18,54,0,0,0
Graduation,Single,1,18-30,21474.0,0,0,82,0,2,7,6,57,34,91,1,1,1
PhD,Single,1,31-45,60504.0,73,0,142,0,2,6,16,492,34,526,0,0,0
Graduation,Partner,0,46-60,22419.0,74,0,437,1,1,8,7,120,42,162,0,0,0
Master,Partner,0,61+,81698.0,4,0,235,0,1,1,24,961,47,1008,0,0,1
Graduation,Partner,1,61+,43462.0,50,0,655,1,6,8,10,225,15,240,0,0,0
PhD,Single,1,31-45,54880.0,57,0,485,1,2,5,19,677,118,795,0,0,0
Graduation,Partner,0,31-45,79908.0,30,0,450,1,1,2,18,1661,111,1772,1,1,0
2n Cycle,Partner,0,31-45,15315.0,27,0,330,0,2,5,6,47,17,64,0,0,0
Graduation,Partner,1,46-60,87771.0,61,0,403,1,1,6,19,1924,33,1957,4,1,1
Graduation,Partner,1,31-45,33039.0,4,0,293,0,1,5,6,66,12,78,0,0,0
Graduation,Single,0,31-45,81741.0,75,0,378,1,0,2,19,1534,38,1572,0,0,0
Master,Partner,1,31-45,71499.0,12,0,369,1,2,4,24,758,37,795,0,0,0
2n Cycle,Partner,1,31-45,62466.0,13,0,165,0,5,4,21,806,83,889,0,0,0
PhD,Single,1,46-60,48799.0,9,0,236,0,3,3,12,307,24,331,0,0,0
PhD,Partner,1,61+,52157.0,48,0,22,0,2,4,10,225,40,265,0,0,0
Graduation,Single,1,46-60,66565.0,80,0,571,1,4,8,15,1023,42,1065,0,0,0
Master,Partner,1,61+,29298.0,60,0,295,0,1,5,3,10,1,11,0,0,0
Graduation,Single,1,31-45,47691.0,43,0,359,0,1,6,3,17,4,21,0,0,0
Graduation,Partner,1,31-45,38200.0,19,0,569,1,1,7,3,16,1,17,0,0,0
Graduation,Partner,1,31-45,44989.0,26,0,655,1,5,6,11,263,106,369,0,0,0
PhD,Partner,1,46-60,38443.0,58,0,153,0,2,7,4,37,1,38,0,0,0
2n Cycle,Single,1,31-45,38593.0,42,0,289,0,3,8,8,153,24,177,0,0,0
PhD,Partner,1,31-45,64413.0,27,0,332,0,1,5,11,259,20,279,0,0,0
Master,Partner,1,31-45,36959.0,56,0,270,0,2,8,5,62,0,62,0,0,0
PhD,Partner,1,31-45,61996.0,27,0,514,1,3,5,18,1206,24,1230,3,1,1
Graduation,Partner,1,46-60,51287.0,10,0,89,0,3,7,8,152,30,182,0,0,0
Graduation,Partner,1,31-45,13260.0,48,0,310,0,4,8,6,42,7,49,0,0,0
PhD,Partner,1,46-60,47472.0,39,0,286,0,2,5,6,67,8,75,0,0,0
Master,Partner,1,46-60,54603.0,85,0,355,0,6,7,10,223,4,227,0,0,0
PhD,Partner,1,31-45,45207.0,64,0,596,1,5,6,10,213,2,215,1,1,0
Graduation,Partner,1,61+,40689.0,69,0,468,1,7,8,13,345,99,444,0,0,0
2n Cycle,Partner,1,46-60,47821.0,54,0,252,0,1,8,4,37,10,47,0,0,0
Master,Partner,0,61+,27450.0,57,0,440,1,1,7,6,91,52,143,0,0,0
Graduation,Partner,1,31-45,39453.0,64,0,87,0,2,6,5,53,2,55,0,0,0
2n Cycle,Partner,1,31-45,26850.0,10,0,72,0,4,4,7,54,9,63,0,0,0
Graduation,Single,0,46-60,79800.0,65,0,644,1,1,3,21,1643,224,1867,3,1,1
Master,Partner,1,46-60,61794.0,74,0,288,0,2,2,18,600,11,611,0,0,0
Graduation,Partner,1,46-60,53863.0,4,0,43,0,3,7,15,443,30,473,1,1,0
Graduation,Partner,0,46-60,24221.0,94,0,313,0,1,4,5,33,22,55,0,0,0
PhD,Single,1,18-30,39684.0,41,1,625,1,2,7,5,64,17,81,0,0,1
Master,Partner,0,31-45,92163.0,25,0,564,1,0,2,21,2066,20,2086,2,1,1
Master,Single,0,46-60,69882.0,94,0,231,0,1,1,19,1313,165,1478,0,0,0
Graduation,Partner,1,31-45,33178.0,9,0,150,0,1,4,4,33,16,49,0,0,0
PhD,Partner,0,31-45,59973.0,47,0,291,0,1,1,14,382,0,382,0,0,0
Master,Partner,1,31-45,17459.0,12,0,283,0,3,7,6,39,30,69,0,0,1
Graduation,Single,1,31-45,23910.0,80,0,611,1,1,7,5,54,13,67,0,0,0
Master,Partner,1,31-45,42169.0,20,0,253,0,2,8,4,28,2,30,0,0,0
2n Cycle,Partner,1,31-45,26224.0,39,0,390,1,3,6,6,48,15,63,0,0,0
Graduation,Partner,1,31-45,31089.0,57,0,681,1,3,8,7,75,4,79,0,0,0
Graduation,Single,1,46-60,30081.0,27,0,493,1,1,7,4,38,4,42,0,0,0
Graduation,Partner,1,46-60,62807.0,83,0,667,1,3,5,20,720,99,819,0,0,0
Graduation,Single,0,46-60,72906.0,79,0,285,0,1,1,16,1097,54,1151,0,0,0
PhD,Partner,1,61+,61467.0,69,0,567,1,3,5,17,545,49,594,0,0,0
Master,Partner,1,46-60,49618.0,77,0,519,1,4,7,7,115,14,129,0,0,0
Master,Single,1,18-30,21888.0,15,0,547,1,4,10,8,149,64,213,0,0,1
Graduation,Single,1,31-45,42429.0,99,0,138,0,2,5,5,63,4,67,0,0,0
Graduation,Single,1,46-60,26150.0,61,0,475,1,1,7,4,27,1,28,0,0,0
Basic,Partner,1,31-45,30801.0,23,0,611,1,2,7,4,34,11,45,0,0,0
Graduation,Partner,0,46-60,81168.0,84,0,53,0,1,3,17,1171,22,1193,1,1,0
Master,Single,0,31-45,26877.0,74,0,314,0,2,6,10,228,40,268,0,0,0
Master,Single,0,61+,45006.0,90,0,346,0,1,3,11,256,10,266,0,0,0
Basic,Partner,1,31-45,18978.0,41,0,565,1,1,8,4,22,15,37,0,0,0
Graduation,Partner,1,46-60,22574.0,28,0,244,0,2,7,5,35,2,37,0,0,0
PhD,Single,0,31-45,48240.0,73,0,597,1,3,5,22,841,41,882,0,0,1
Graduation,Partner,1,31-45,45837.0,88,0,338,0,5,7,13,349,24,373,0,0,0
Master,Single,1,46-60,35791.0,94,0,419,1,2,8,4,32,3,35,0,0,0
PhD,Partner,1,31-45,162397.0,31,0,391,1,0,1,1,105,2,107,0,0,0
