Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Days_Since_Enrolled,Years_Since_Enrolled,Age,AgeGroup,Children,MntTotal,AcceptedCmpTotal,NumTotalPurchases,HasChildren,MntRegularProds,HasAcceptedCmp
1989,Graduation,Single,81217.0,0,0,2013-07-19,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,345,0,25,18-30,0,1157,0,21,0,1073,0
1992,Graduation,Partner,34935.0,0,0,2013-06-21,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,373,1,22,18-30,0,137,0,7,0,117,0
1959,Graduation,Single,61250.0,0,1,2012-12-16,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,560,1,55,46-60,1,730,0,19,1,671,0
1981,PhD,Partner,39665.0,1,0,2013-05-25,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,400,1,33,31-45,1,216,1,9,1,185,1
1979,Graduation,Single,60152.0,0,1,2013-03-28,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,458,1,35,31-45,1,943,0,22,1,852,0
1964,Graduation,Partner,48920.0,0,2,2013-10-20,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,252,0,50,46-60,2,347,1,13,1,341,1
1959,Master,Partner,89120.0,0,0,2014-03-17,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,104,0,55,46-60,0,1924,1,18,0,1869,1
1946,PhD,Partner,44124.0,0,1,2013-05-11,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,414,1,68,61+,1,397,0,13,1,345,0
1975,Master,Single,81169.0,0,0,2013-04-14,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,441,1,39,31-45,0,2089,0,21,0,2062,0
1961,Graduation,Partner,36443.0,1,1,2013-02-03,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,511,1,53,46-60,2,138,0,7,1,118,0
1990,Graduation,Single,26095.0,1,0,2013-06-30,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,364,0,24,18-30,1,42,0,4,1,31,0
1959,Graduation,Partner,71367.0,0,0,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,310,0,55,46-60,0,777,0,16,0,702,0
1944,Master,Partner,80184.0,0,0,2014-03-01,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,120,0,70,61+,0,1902,2,19,0,1902,1
1965,Graduation,Single,30630.0,1,1,2014-01-27,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,153,0,49,46-60,2,52,0,5,1,42,0
1987,Master,Single,73454.0,0,0,2014-03-01,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,120,0,27,18-30,0,1651,1,12,0,1476,1
1991,Graduation,Partner,42691.0,0,0,2013-08-16,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,317,0,23,18-30,0,358,0,12,0,300,0
1953,Graduation,Partner,70503.0,0,0,2012-09-30,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,637,1,61,61+,0,1727,2,15,0,1661,1
1987,Graduation,Partner,25545.0,1,0,2012-09-08,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,659,1,27,18-30,1,210,0,7,1,125,0
1986,Graduation,Partner,32880.0,1,0,2012-12-04,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,572,1,28,18-30,1,42,0,4,1,40,0
1958,PhD,Partner,77863.0,0,0,2013-11-27,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,214,0,56,46-60,0,1291,0,19,0,1279,0
1977,Master,Partner,50353.0,0,0,2014-06-08,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,21,0,37,31-45,0,442,0,14,0,407,0
1964,Graduation,Single,61839.0,0,0,2012-08-12,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,686,1,50,46-60,0,1895,0,16,0,1775,0
1960,PhD,Partner,49154.0,1,1,2013-11-03,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,238,0,54,46-60,2,411,0,13,1,340,0
1975,2n Cycle,Single,47682.0,0,1,2013-02-15,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,499,1,39,31-45,1,521,0,15,1,460,0
1969,Graduation,Single,72679.0,0,1,2013-09-18,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,284,0,45,31-45,1,1168,0,16,1,1114,0
1977,Master,Partner,57954.0,1,1,2014-06-18,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,11,0,37,31-45,2,493,1,16,1,484,1
1962,Graduation,Partner,65316.0,1,1,2013-04-24,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,431,1,52,46-60,2,260,0,10,1,222,0
1982,Graduation,Single,28567.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,377,1,32,31-45,1,46,0,5,1,40,0
1951,Master,Partner,47352.0,0,1,2013-04-11,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,444,1,63,61+,1,319,0,12,1,304,0
1967,Graduation,Partner,44931.0,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,162,0,47,46-60,1,96,0,6,1,89,0
1967,Graduation,Single,76982.0,0,0,2014-02-15,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,134,0,47,46-60,0,1062,1,15,0,1032,1
1952,2n Cycle,Partner,57247.0,0,1,2013-08-08,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,325,0,62,61+,1,232,0,10,1,226,0
1981,Master,Single,22944.0,1,0,2013-12-23,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,188,0,33,31-45,1,76,0,6,1,50,0
1977,2n Cycle,Partner,25315.0,1,0,2013-11-07,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,234,0,37,31-45,1,54,0,6,1,32,0
1969,Graduation,Single,43638.0,0,1,2012-08-06,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,692,1,45,31-45,1,201,0,9,1,182,0
1984,PhD,Single,42710.0,1,0,2012-11-28,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,578,1,30,18-30,1,406,0,12,1,304,0
1982,PhD,Partner,84169.0,0,0,2013-08-07,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,326,0,32,31-45,0,1919,2,19,0,1919,1
1976,Graduation,Partner,54058.0,0,1,2013-06-04,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,390,1,38,31-45,1,662,0,18,1,608,0
1990,2n Cycle,Partner,24683.0,1,0,2014-03-08,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,113,0,24,18-30,1,41,0,6,1,35,0
1964,Graduation,Single,85620.0,0,0,2014-01-07,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,173,0,50,46-60,0,1600,0,13,0,1554,0
1980,Graduation,Partner,47850.0,1,0,2013-12-03,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,208,0,34,31-45,1,134,0,7,1,124,0
1968,Graduation,Partner,19514.0,1,1,2014-01-26,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,154,0,46,46-60,2,69,1,6,1,41,1
1973,Master,Partner,27159.0,1,1,2014-03-29,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,92,0,41,31-45,2,21,0,4,1,20,0
1963,2n Cycle,Single,39548.0,1,1,2014-03-31,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,90,0,51,46-60,2,54,0,5,1,36,0
1989,Graduation,Single,21474.0,1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,82,0,25,18-30,1,91,1,6,1,57,1
1971,PhD,Single,60504.0,0,1,2014-02-07,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,142,0,43,31-45,1,526,0,16,1,492,0
1963,Graduation,Partner,22419.0,0,0,2013-04-18,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,437,1,51,46-60,0,162,0,7,0,120,0
1949,Master,Partner,81698.0,0,0,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,235,0,65,61+,0,1008,0,24,0,961,0
1952,Graduation,Partner,43462.0,1,1,2012-09-12,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,655,1,62,61+,2,240,0,10,1,225,0
1978,PhD,Single,54880.0,1,0,2013-03-01,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,485,1,36,31-45,1,795,0,19,1,677,0
1982,Graduation,Partner,79908.0,0,0,2013-04-05,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,450,1,32,31-45,0,1772,1,18,0,1661,1
1970,2n Cycle,Partner,15315.0,0,0,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,330,0,44,31-45,0,64,0,6,0,47,0
1959,Graduation,Partner,87771.0,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,403,1,55,46-60,1,1957,4,19,1,1924,1
1978,Graduation,Partner,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,293,0,36,31-45,1,78,0,6,1,66,0
1980,Graduation,Single,81741.0,0,0,2013-06-16,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,378,1,34,31-45,0,1572,0,19,0,1534,0
1971,Master,Partner,71499.0,0,1,2013-06-25,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,369,1,43,31-45,1,795,0,24,1,758,0
1970,2n Cycle,Partner,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,165,0,44,31-45,1,889,0,21,1,806,0
1963,PhD,Single,48799.0,0,1,2013-11-05,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,236,0,51,46-60,1,331,0,12,1,307,0
1950,PhD,Partner,52157.0,0,1,2014-06-07,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,22,0,64,61+,1,265,0,10,1,225,0
1962,Graduation,Single,66565.0,0,1,2012-12-05,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,571,1,52,46-60,1,1065,0,15,1,1023,0
1951,Master,Partner,29298.0,1,1,2013-09-07,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,295,0,63,61+,2,11,0,3,1,10,0
1979,Graduation,Single,47691.0,0,1,2013-07-05,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,359,0,35,31-45,1,21,0,3,1,17,0
1970,Graduation,Partner,38200.0,1,1,2012-12-07,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,569,1,44,31-45,2,17,0,3,1,16,0
1974,Graduation,Partner,44989.0,0,1,2012-09-12,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,655,1,40,31-45,1,369,0,11,1,263,0
1968,PhD,Partner,38443.0,1,1,2014-01-27,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,153,0,46,46-60,2,38,0,4,1,37,0
1978,2n Cycle,Single,38593.0,1,0,2013-09-13,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,289,0,36,31-45,1,177,0,8,1,153,0
1970,PhD,Partner,64413.0,0,1,2013-08-01,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,332,0,44,31-45,1,279,0,11,1,259,0
1981,Master,Partner,36959.0,1,0,2013-10-02,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,270,0,33,31-45,1,62,0,5,1,62,0
1977,PhD,Partner,61996.0,0,1,2013-01-31,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,514,1,37,31-45,1,1230,3,18,1,1206,1
1968,Graduation,Partner,51287.0,1,1,2014-04-01,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,89,0,46,46-60,2,182,0,8,1,152,0
1970,Graduation,Partner,13260.0,1,1,2013-08-23,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,310,0,44,31-45,2,49,0,6,1,42,0
1966,PhD,Partner,47472.0,1,1,2013-09-16,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,286,0,48,46-60,2,75,0,6,1,67,0
1956,Master,Partner,54603.0,1,1,2013-07-09,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,355,0,58,46-60,2,227,0,10,1,223,0
1974,PhD,Partner,45207.0,1,1,2012-11-10,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,596,1,40,31-45,2,215,1,10,1,213,1
1951,Graduation,Partner,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,1,63,61+,1,444,0,13,1,345,0
1967,2n Cycle,Partner,47821.0,1,1,2013-10-20,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,252,0,47,46-60,2,47,0,4,1,37,0
1951,Master,Partner,27450.0,0,0,2013-04-15,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,440,1,63,61+,0,143,0,6,0,91,0
1983,Graduation,Partner,39453.0,1,0,2014-04-03,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,87,0,31,31-45,1,55,0,5,1,53,0
1971,2n Cycle,Partner,26850.0,1,1,2014-04-18,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,72,0,43,31-45,2,63,0,7,1,54,0
1955,Graduation,Single,79800.0,0,0,2012-09-23,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,644,1,59,46-60,0,1867,3,21,0,1643,1
1961,Master,Partner,61794.0,0,1,2013-09-14,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,288,0,53,46-60,1,611,0,18,1,600,0
1955,Graduation,Partner,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,43,0,59,46-60,1,473,1,15,1,443,1
1959,Graduation,Partner,24221.0,0,0,2013-08-20,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,313,0,55,46-60,0,55,0,5,0,33,0
1984,PhD,Single,39684.0,1,0,2012-10-12,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,625,1,30,18-30,1,81,0,5,1,64,0
1975,Master,Partner,92163.0,0,0,2012-12-12,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,564,1,39,31-45,0,2086,2,21,0,2066,1
1965,Master,Single,69882.0,0,0,2013-11-10,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,231,0,49,46-60,0,1478,0,19,0,1313,0
1977,Graduation,Partner,33178.0,1,0,2014-01-30,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,150,0,37,31-45,1,49,0,4,1,33,0
1972,PhD,Partner,59973.0,0,0,2013-09-11,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,291,0,42,31-45,0,382,0,14,0,382,0
1975,Master,Partner,17459.0,1,0,2013-09-19,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,283,0,39,31-45,1,69,0,6,1,39,0
1969,Graduation,Single,23910.0,1,0,2012-10-26,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,611,1,45,31-45,1,67,0,5,1,54,0
1969,Master,Partner,42169.0,1,1,2013-10-19,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,253,0,45,31-45,2,30,0,4,1,28,0
1978,2n Cycle,Partner,26224.0,1,0,2013-06-04,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,390,1,36,31-45,1,63,0,6,1,48,0
1981,Graduation,Partner,31089.0,1,0,2012-08-17,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,681,1,33,31-45,1,79,0,7,1,75,0
1961,Graduation,Single,30081.0,0,1,2013-02-21,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,493,1,53,46-60,1,42,0,4,1,38,0
1960,Graduation,Partner,62807.0,0,1,2012-08-31,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,667,1,54,46-60,1,819,0,20,1,720,0
1955,Graduation,Single,72906.0,0,0,2013-09-17,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,285,0,59,46-60,0,1151,0,16,0,1097,0
1948,PhD,Partner,61467.0,0,2,2012-12-09,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,567,1,66,61+,2,594,0,17,1,545,0
1966,Master,Partner,49618.0,1,1,2013-01-26,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,519,1,48,46-60,2,129,0,7,1,115,0
1986,Master,Single,21888.0,1,0,2012-12-29,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,547,1,28,18-30,1,213,0,8,1,149,0
1973,Graduation,Single,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,0,41,31-45,1,67,0,5,1,63,0
1956,Graduation,Single,26150.0,2,1,2013-03-11,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,475,1,58,46-60,3,28,0,4,1,27,0
1975,Basic,Partner,30801.0,0,1,2012-10-26,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,611,1,39,31-45,1,45,0,4,1,34,0
1965,Graduation,Partner,81168.0,0,0,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,53,0,49,46-60,0,1193,1,17,0,1171,1
1969,Master,Single,26877.0,0,0,2013-08-19,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,314,0,45,31-45,0,268,0,10,0,228,0
1944,Master,Single,45006.0,0,0,2013-07-18,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,346,0,70,61+,0,266,0,11,0,256,0
1973,Basic,Partner,18978.0,1,0,2012-12-11,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,565,1,41,31-45,1,37,0,4,1,22,0
1967,Graduation,Partner,22574.0,2,1,2013-10-28,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,244,0,47,46-60,3,37,0,5,1,35,0
1969,PhD,Single,48240.0,0,0,2012-11-09,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,597,1,45,31-45,0,882,0,22,0,841,0
1974,Graduation,Partner,45837.0,1,1,2013-07-26,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,338,0,40,31-45,2,373,0,13,1,349,0
1965,Master,Single,35791.0,2,1,2013-05-06,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,419,1,49,46-60,3,35,0,4,1,32,0
1978,Graduation,Single,54162.0,1,1,2013-03-18,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,468,1,36,31-45,2,42,0,4,1,32,0
1960,Master,Partner,30522.0,0,1,2012-08-17,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,681,1,54,46-60,1,326,0,12,1,300,0
1961,PhD,Partner,54456.0,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,353,0,53,46-60,1,404,0,14,1,389,0
1971,Graduation,Single,31632.0,0,0,2013-07-14,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,350,0,43,31-45,0,95,0,5,0,63,0
1949,Graduation,Single,72298.0,0,0,2014-03-10,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,111,0,65,61+,0,939,2,13,0,904,1
1978,2n Cycle,Single,36975.0,1,0,2013-12-28,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,183,0,36,31-45,1,33,0,4,1,31,0
1955,2n Cycle,Partner,72635.0,0,0,2013-06-03,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,391,1,59,46-60,0,981,1,20,0,874,1
1976,Graduation,Partner,13624.0,1,0,2013-01-20,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,525,1,38,31-45,1,36,0,5,1,30,0
1975,Graduation,Single,84196.0,0,1,2013-06-03,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,391,1,39,31-45,1,1237,0,19,1,1047,0
1960,Graduation,Partner,70971.0,0,1,2012-09-21,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,646,1,54,46-60,1,1825,0,27,1,1808,0
1977,PhD,Single,34487.0,1,1,2012-09-06,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,661,1,37,31-45,2,103,0,6,1,95,0
1977,Graduation,Single,28769.0,1,0,2012-12-18,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,558,1,37,31-45,1,191,0,9,1,188,0
1970,PhD,Partner,69084.0,1,0,2013-11-19,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,222,0,44,31-45,1,1586,0,23,1,1556,0
1958,PhD,Partner,65488.0,0,0,2014-06-13,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,16,0,56,46-60,0,963,0,13,0,909,0
1970,2n Cycle,Partner,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,165,0,44,31-45,1,889,0,21,1,806,0
1960,2n Cycle,Single,32218.0,0,0,2014-02-15,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,134,0,54,46-60,0,93,1,6,0,63,1
1973,Graduation,Single,83917.0,0,0,2013-04-18,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,437,1,41,31-45,0,1587,0,20,0,1508,0
1962,Graduation,Single,46102.0,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,111,0,52,46-60,3,16,0,3,1,15,0
1952,Graduation,Single,84574.0,0,0,2013-06-04,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,390,1,62,61+,0,1375,0,31,0,1212,0
1962,Graduation,Partner,56181.0,0,1,2013-01-08,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,537,1,52,46-60,1,393,0,13,1,345,0
1950,Master,Single,63120.0,0,1,2012-09-28,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,639,1,64,61+,1,1477,0,21,1,1408,0
1971,Graduation,Partner,73691.0,0,1,2013-11-06,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,235,0,43,31-45,1,1179,1,16,1,1106,1
1960,Graduation,Partner,63381.0,0,1,2012-10-05,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,632,1,54,46-60,1,1005,0,22,1,846,0
1948,PhD,Partner,76140.0,0,0,2014-05-13,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,47,0,66,61+,0,1348,0,20,0,1322,0
1959,PhD,Single,62859.0,0,1,2012-12-30,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,546,1,55,46-60,1,1307,0,19,1,1282,0
1964,Graduation,Single,45906.0,0,1,2013-05-07,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,418,1,50,46-60,1,486,1,13,1,342,1
1947,Master,Partner,77632.0,0,0,2013-03-10,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,476,1,67,61+,0,2252,2,12,0,2105,1
1971,PhD,Partner,46463.0,1,1,2013-08-18,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,315,0,43,31-45,2,235,0,10,1,224,0
1970,Graduation,Partner,105471.0,0,0,2013-01-21,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,524,1,44,31-45,0,1724,2,30,0,1517,1
1970,Master,Single,55282.0,1,0,2013-12-13,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,198,0,44,31-45,1,235,0,10,1,216,0
1977,Master,Partner,78710.0,0,1,2014-05-23,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,37,0,37,31-45,1,1092,0,25,1,1042,0
1958,Graduation,Partner,66886.0,0,1,2013-09-16,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,286,0,56,46-60,1,599,0,15,1,453,0
1960,Master,Single,98777.0,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,132,0,54,46-60,0,2008,1,19,0,1970,1
1985,Graduation,Partner,29103.0,1,0,2012-08-27,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,671,1,29,18-30,1,48,0,4,1,42,0
1974,Graduation,Partner,67445.0,0,1,2012-08-12,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,686,1,40,31-45,1,1174,0,27,1,1163,0
1950,PhD,Partner,50616.0,0,1,2014-04-13,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,77,0,64,61+,1,67,0,6,1,58,0
1955,Graduation,Single,49431.0,0,1,2012-08-03,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,695,1,59,46-60,1,365,0,13,1,348,0
1953,Graduation,Partner,61278.0,0,1,2014-01-04,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,176,0,61,61+,1,165,0,8,1,150,0
1958,2n Cycle,Partner,26490.0,0,0,2012-09-22,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,645,1,56,46-60,0,210,0,9,0,185,0
1947,PhD,Partner,73059.0,0,1,2013-08-31,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,302,0,67,61+,1,1095,0,25,1,1024,0
1966,PhD,Single,46734.0,1,2,2013-10-21,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,251,0,48,46-60,3,223,1,8,1,147,1
1963,Graduation,Partner,56253.0,0,1,2012-12-07,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,569,1,51,46-60,1,597,0,18,1,592,0
